,Name,Rating,Popularity,Studio,Type,Genres,Era
1884,Galaxy Angel 3,7.42,6639.0,Madhouse,TV,Comedy/Sci-Fi,Classic
1885,Groove Adventure Rave,7.42,62705.0,Studio Deen,TV,Adventure/Comedy/Fantasy/Romance/Shounen,Classic
1886,Haikara-san ga Tooru,7.42,1574.0,Nippon Animation,TV,Slice of Life/Romance/Historical/Drama/Shoujo,Old
1887,Hanamaru Youchien,7.42,45144.0,Gainax,TV,Slice of Life/Comedy/Seinen,New
1888,Hatsukoi Limited.,7.42,59827.0,J.C.Staff,TV,Comedy/Romance/School/Shounen,New
1890,Hentai Ouji to Warawanai Neko.,7.42,240527.0,J.C.Staff,TV,Harem/Comedy/Supernatural/Romance/School,New
1893,Keroro Gunsou Movie 1,7.42,3958.0,Sunrise,Movie,Comedy/Kids/Sci-Fi/Shounen,Classic
1895,Midori no Hibi,7.42,99861.0,Studio Pierrot,TV,Comedy/Drama/Romance/Ecchi/Shounen,Classic
1897,Nabari no Ou,7.42,116995.0,J.C.Staff,TV,Action/Fantasy/Supernatural/Comedy/Drama/Shounen,New
1898,Naruto: Shippuuden Movie 1,7.42,124773.0,Studio Pierrot,Movie,Action/Adventure/Comedy/Fantasy/Shounen,New
1899,Naruto: Shippuuden Movie 2 - Kizuna,7.42,112749.0,Studio Pierrot,Movie,Action/Martial Arts/Shounen/Supernatural,New
1900,Natsu no Arashi! Akinaichuu,7.42,13319.0,Shaft,TV,Comedy/Romance/Supernatural,New
1901,One Piece Movie 5: Norowareta Seiken,7.42,39876.0,Toei Animation,Movie,Action/Adventure/Comedy/Super Power/Fantasy/Shounen,Classic
1902,Pokemon,7.42,265447.0,OLM,TV,Action/Adventure/Comedy/Kids/Fantasy,Classic
1903,Robotics;Notes,7.42,121129.0,Production I.G,TV,Sci-Fi/Mystery/Drama/School,New
1905,Shikabane Hime: Kuro,7.42,51677.0,Gainax,TV,Action/Horror,New
1906,Shounen Maid,7.42,38202.0,8bit,TV,Comedy/Shoujo/Slice of Life,New
1908,Strawberry Panic,7.42,81267.0,Madhouse,TV,Drama/Romance/School/Shoujo Ai,Classic
1909,Taiho Shichau zo The Movie,7.42,4439.0,Studio Deen,Movie,Action/Comedy/Drama/Police/Shounen,Classic
1910,Tari Tari,7.42,91862.0,P.A. Works,TV,Music/Slice of Life/School,New
1911,Trinity Blood,7.42,123977.0,Gonzo,TV,Action/Supernatural/Vampire,Classic
1912,Afro Samurai,7.41,157920.0,Gonzo,TV,Action/Adventure/Samurai,New
1913,Aikatsu Stars! Movie,7.41,1841.0,Bandai Namco Pictures,Movie,Music/School/Shoujo/Slice of Life,New
1917,Brigadoon: Marin to Melan,7.41,6724.0,Sunrise,TV,Adventure/Comedy/Drama/Mecha/Sci-Fi,Classic
1918,C: The Money of Soul and Possibility Control,7.41,179182.0,Tatsunoko Production,TV,Action/Mystery/Super Power/Thriller,New
1919,Doraemon Movie 29: Shin Nobita no Uchuu Kaitakushi,7.41,1258.0,Shin-Ei Animation,Movie,Adventure/Comedy/Fantasy/Kids,New
1920,Erementar Gerad,7.41,68714.0,Xebec,TV,Adventure/Comedy/Fantasy/Magic/Romance/Super Power,Classic
1921,Grappler Baki (TV),7.41,27454.0,Group TAC,TV,Action/Sports/Martial Arts/Shounen,Classic
1922,Haiyore! Nyaruko-san W,7.41,99079.0,Xebec,TV,Comedy/Parody/Sci-Fi,New
1924,Hamatora The Animation,7.41,159387.0,NAZ,TV,Comedy/Mystery/Super Power,New
1927,Kannagi,7.41,102648.0,A-1 Pictures,TV,Comedy/School/Shounen/Supernatural,New
1929,Kiba,7.41,52326.0,Madhouse,TV,Adventure/Fantasy/Shounen,Classic
1930,Konjiki no Gash Bell!!: 101 Banme no Mamono,7.41,4961.0,Toei Animation,Movie,Adventure/Shounen/Supernatural,Classic
1931,Nagasarete Airantou,7.41,57537.0,feel.,TV,Comedy/Ecchi/Fantasy/Harem/Romance,New
1934,Peace Maker Kurogane,7.41,37978.0,Gonzo,TV,Action/Comedy/Historical/Samurai/Shounen,Classic
1935,Saint Seiya: Shinku no Shounen Densetsu,7.41,9646.0,Toei Animation,Movie,Adventure/Fantasy/Sci-Fi/Shounen,Old
1937,Shin Taketori Monogatari: 1000-nen Joou,7.41,2175.0,Toei Animation,TV,Sci-Fi/Mystery/Drama,Old
1938,Slayers Gorgeous,7.41,13589.0,J.C.Staff,Movie,Adventure/Comedy/Fantasy/Magic/Supernatural,Classic
1939,Slayers Return,7.41,13792.0,J.C.Staff,Movie,Adventure/Comedy/Fantasy/Magic/Shounen,Classic
1942,Strike Witches 2,7.41,56496.0,AIC Spirits,TV,Action/Military/Sci-Fi/Magic/Ecchi,New
1943,Taishou Yakyuu Musume.,7.41,13350.0,J.C.Staff,TV,Comedy/Historical/School/Seinen/Sports,New
1944,Tekken Chinmi,7.41,2175.0,Production Reed,TV,Action/Adventure/Historical/Martial Arts/Shounen,Old
1946,Tokimeki Tonight,7.41,3617.0,Group TAC,TV,Comedy/Fantasy/Romance/Shoujo/Vampire,Old
1947,Yes! Precure 5 Movie: Kagami no Kuni no Miracle Daibouken!,7.41,2642.0,Toei Animation,Movie,Fantasy/Music/Romance/Shoujo,New
1949,Aho Girl,7.4,101907.0,Diomedea,TV,Comedy/Romance/School/Shounen,New
1950,Black Bullet,7.4,397374.0,Kinema Citrus,TV,Action/Sci-Fi/Mystery,New
1951,Boruto: Naruto Next Generations,7.4,142625.0,Studio Pierrot,TV,Action/Adventure/Super Power/Martial Arts/Shounen,New
1952,Break Blade,7.4,54497.0,Production I.G,TV,Action/Fantasy/Mecha/Military/Shounen,New
1953,Damekko Doubutsu,7.4,8489.0,Magic Bus,TV,Slice of Life/Comedy,Classic
1954,Doraemon Movie 17: Nobita to Ginga Express,7.4,1651.0,add some,Movie,Fantasy,Classic
1955,Doraemon Movie 34: Shin Nobita no Daimakyou - Peko to 5-nin no Tankentai,7.4,985.0,Shin-Ei Animation,Movie,Adventure/Comedy/Fantasy/Kids,New
1956,Doraemon Movie 36: Shin Nobita no Nippon Tanjou,7.4,654.0,Shin-Ei Animation,Movie,Adventure/Comedy/Kids/Fantasy/Shounen,New
1957,Haha wo Tazunete Sanzenri,7.4,4300.0,Nippon Animation,TV,Adventure/Drama/Historical/Slice of Life,Old
1958,Heisei Tanuki Gassen Ponpoko,7.4,39786.0,Kyoto Animation,Movie,Kids,Old
1959,Highschool of the Dead,7.4,646254.0,Madhouse,TV,Action/Horror/Supernatural/Ecchi,New
1961,Kakumeiki Valvrave 2nd Season,7.4,63080.0,Sunrise,TV,Action/Space/Mecha,New
1964,Knight's & Magic,7.4,59707.0,8bit,TV,Action/Fantasy/Mecha/School,New
1965,Matantei Loki Ragnarok,7.4,27133.0,Studio Deen,TV,Comedy/Magic/Mystery/Shounen/Supernatural,Classic
1967,Minami-ke Okawari,7.4,54297.0,Asread,TV,Comedy/School/Slice of Life,New
1968,Mobile Suit Gundam I,7.4,15243.0,Sunrise,Movie,Action/Military/Sci-Fi/Adventure/Space/Drama/Mecha,Old
1970,Musashi no Ken,7.4,1126.0,Eiken,TV,Shounen/Sports,Old
1971,Needless,7.4,96967.0,Madhouse,TV,Action/Comedy/Ecchi/Sci-Fi/Super Power,New
1975,Ore no Imouto ga Konnani Kawaii Wake ga Nai,7.4,377678.0,AIC Build,TV,Slice of Life/Comedy,New
1976,Oseam,7.4,4130.0,add some,Movie,Adventure/Drama,Classic
1978,Phi Brain: Kami no Puzzle - Orpheus Order-hen,7.4,33146.0,Sunrise,TV,Action/Game/Mystery/Shounen,New
1983,Slayers Great,7.4,13607.0,J.C.Staff,Movie,Adventure/Comedy/Fantasy/Magic/Shounen,Classic
1985,Tabisuru Nuigurumi: Traveling Daru,7.4,2888.0,add some,Movie,Kids/Slice of Life,New
1987,Tenkuu Senki Shurato,7.4,5608.0,Tatsunoko Production,TV,Action/Magic/Fantasy/Shounen,Old
1988,The iDOLM@STER Cinderella Girls 2nd Season,7.4,20622.0,A-1 Pictures,TV,Comedy/Drama/Music,New
1989,Tobe! Isami,7.4,1028.0,Group TAC,TV,Action/Adventure/Comedy/Romance/Shounen,Classic
1990,Uragiri wa Boku no Namae wo Shitteiru,7.4,61304.0,J.C.Staff,TV,Adventure/Drama/Fantasy/Shoujo/Shounen Ai,New
1992,Zutto Mae kara Suki deshita.: Kokuhaku Jikkou Iinkai,7.4,57591.0,Qualia Animation,Movie,Romance/School,New
1994,Allison to Lillia,7.39,30064.0,Madhouse,TV,Action/Adventure/Shounen,New
1995,Biohazard: Damnation,7.39,13261.0,Digital Frontier,Movie,Action/Sci-Fi/Horror,New
1996,Cheonnyeon-yeowoo Yeowoobi,7.39,9841.0,Sunwoo Entertainment,Movie,Sci-Fi/Drama/Fantasy,New
